duration;f1_test;f1_train;roc_auc;model;dataset;variables;sampler;cv;TN;FP;FN;TP
0,23496198654174805;0,4821428571428571;0,644474034620506;0,7341985399638111;KNN;LabelEncoding;Todas Variables;;9;0,42084224226085337;0,060146881100678624;0,3172123760889156;0,24421748272754581
0,06338810920715332;0,5170731707317073;0,9958258795468098;0,6696518902401256;CART;LabelEncoding;Todas Variables;;0;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,050830841064453125;0,5386666666666666;0,9952238805970148;0,687857452563335;CART;LabelEncoding;Todas Variables;;1;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,05163002014160156;0,5013333333333333;0,9952210274790919;0,6667045196456961;CART;LabelEncoding;Todas Variables;;2;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,04954195022583008;0,5068119891008174;0,9949268874962699;0,663751987281399;CART;LabelEncoding;Todas Variables;;3;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,053687095642089844;0,4959568733153639;0,995521051060018;0,6614104407368715;CART;LabelEncoding;Todas Variables;;4;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,05147504806518555;0,4791666666666667;0,9964243146603099;0,6438988818667963;CART;LabelEncoding;Todas Variables;;5;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,050582170486450195;0,5091863517060368;0,9955237242614144;0,667254522698828;CART;LabelEncoding;Todas Variables;;6;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,05130505561828613;0,46408839779005523;0,9955263942737846;0,6421404855242607;CART;LabelEncoding;Todas Variables;;7;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,05269980430603027;0,538860103626943;0,9958258795468098;0,6861986574126749;CART;LabelEncoding;Todas Variables;;8;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,05396890640258789;0,5013927576601672;0,9952295766249254;0,6629229841309457;CART;LabelEncoding;Todas Variables;;9;0,40965490500193874;0,09189608375339278;0,24297082228116712;0,2527851458885942
0,019131183624267578;0,6004415011037527;0,6105316713304502;0,8262032085561498;NB;LabelEncoding;Todas Variables;;0;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,016953229904174805;0,6258503401360545;0,6113074204946997;0,8422356657650776;NB;LabelEncoding;Todas Variables;;1;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,016632080078125;0,6272727272727273;0,6103238866396762;0,8247682365329424;NB;LabelEncoding;Todas Variables;;2;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,01562786102294922;0,6272727272727273;0,6093789607097592;0,8450849627320216;NB;LabelEncoding;Todas Variables;;3;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,013246774673461914;0,6382022471910113;0,6103071845646103;0,8424890617403985;NB;LabelEncoding;Todas Variables;;4;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,013093948364257812;0,5629290617848971;0,6133942161339422;0,7947692880563513;NB;LabelEncoding;Todas Variables;;5;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,013164997100830078;0,6194690265486725;0,6100660904931368;0,8261049452311257;NB;LabelEncoding;Todas Variables;;6;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,01294088363647461;0,5990783410138248;0,6106754363774348;0,818905863734627;NB;LabelEncoding;Todas Variables;;7;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,013091802597045898;0,5795724465558195;0,6163553760726905;0,8158752159207273;NB;LabelEncoding;Todas Variables;;8;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,015233039855957031;0,6113744075829385;0,6118122160524988;0,824920446746116;NB;LabelEncoding;Todas Variables;;9;0,41171013297598186;0,12163694464488196;0,12155074116305588;0,3046750285062714
0,44608497619628906;0,6109510086455331;0,6037859007832899;0,8476090681973035;ADABOOST;LabelEncoding;Todas Variables;;0;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4324629306793213;0,6158536585365855;0,6020509427720807;0,8732888732888733;ADABOOST;LabelEncoding;Todas Variables;;1;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4224820137023926;0,592814371257485;0,5968863862206029;0,8551452522040757;ADABOOST;LabelEncoding;Todas Variables;;2;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4177680015563965;0,6242774566473989;0,5943615257048093;0,8668005285652344;ADABOOST;LabelEncoding;Todas Variables;;3;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,42916393280029297;0,5568862275449102;0,6025768087215063;0,8423804549074773;ADABOOST;LabelEncoding;Todas Variables;;4;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,41939401626586914;0,5402298850574713;0,6081566068515497;0,8063798756710351;ADABOOST;LabelEncoding;Todas Variables;;5;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4306159019470215;0,6126126126126126;0,6007112835434854;0,8467040412085355;ADABOOST;LabelEncoding;Todas Variables;;6;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4148590564727783;0,5308641975308642;0,608781127129751;0,8306095429203861;ADABOOST;LabelEncoding;Todas Variables;;7;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4270670413970947;0,584070796460177;0,6065573770491803;0,8464609687729496;ADABOOST;LabelEncoding;Todas Variables;;8;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,4190700054168701;0,6058823529411764;0,5948989731699239;0,8405451217736735;ADABOOST;LabelEncoding;Todas Variables;;9;0,43507887613180246;0,04788574628955475;0,26030240142306554;0,2938037355469908
0,06809592247009277;0,5865102639296188;0,596742671009772;0,8482491276608922;LR;LabelEncoding;Variables Filtradas (f1);;0;0,434961632041924;0,04922328279992513;0,2541176470588235;0,29558823529411765
0,07833218574523926;0,5941176470588235;0,5927868852459017;0,8623768917886565;LR;LabelEncoding;Variables Filtradas (f1);;1;0,434961632041924;0,04922328279992513;0,2541176470588235;0,29558823529411765
0,0649099349975586;0,5835866261398177;0,595619483491337;0,8486569074804369;LR;LabelEncoding;Variables Filtradas (f1);;2;0,434961632041924;0,04922328279992513;0,2541176470588235;0,29558823529411765
0,07047891616821289;0,6555555555555556;0,5873434410019776;0,8706976648153119;LR;LabelEncoding;Variables Filtradas (f1);;3;0,434961632041924;0,04922328279992513;0,2541176470588235;0,29558823529411765
